FECHA (YYMMDD);HORA (HHMM);
180222;1600;1,2
180222;1700;0,8
180222;1800;0,3
180222;1900;0
180222;2000;0,7
180222;2100;1
180222;2200;0,8
180222;2300;0,4
180223;0;0,2
180223;100;0,1
180223;200;1,5
180223;300;2
180223;400;1,6
180223;500;1,1
180223;600;0,6
180223;700;1
180223;800;0,6
180223;900;1
180223;1000;1,2
180223;1100;1,5
180223;1200;1,4
180223;1300;1,6
180223;1400;1,6
180223;1500;2,7
180223;1600;3,8
180223;1700;2,9
180223;1800;2,9
180223;1900;2
180223;2000;1,2
180223;2100;0,9
180223;2200;0,7
180223;2300;0,4
180224;0;
180224;100;
180224;200;
180224;300;
180224;400;
180224;500;0
180224;600;0,2
180224;700;0,1
180224;800;0,6
180224;900;1,5
180224;1000;1,2
180224;1100;1,5
180224;1200;1,8
180224;1300;1,7
180224;1400;1,8
180224;1500;2
180224;1600;3
180224;1700;2,9
180224;1800;3,8
180224;1900;2,4
180224;2000;1,3
180224;2100;1,4
180224;2200;0,8
180224;2300;0,7
180225;0;0,6
180225;100;0,5
180225;200;0,1
180225;300;0,3
180225;400;0,6
180225;500;0,2
180225;600;0,7
180225;700;0,9
180225;800;0,5
180225;900;1,1
180225;1000;1,1
180225;1100;1,3
180225;1200;2
180225;1300;2,6
180225;1400;3,3
180225;1500;3,3
180225;1600;3,6
180225;1700;4,1
180225;1800;2,9
180225;1900;2,2
180225;2000;1,8
180225;2100;1,7
180225;2200;1,4
180225;2300;1
180226;0;0,7
180226;100;0,6
180226;200;0,3
180226;300;0,9
180226;400;0,5
180226;500;0,5
180226;600;0,8
180226;700;1,1
180226;800;1,2
180226;900;1,3
180226;1000;1,3
180226;1100;1,9
180226;1200;2,2
180226;1300;3,3
180226;1400;2,6
180226;1500;3,9
180226;1600;3,7
180226;1700;3,2
180226;1800;2,8
180226;1900;2,2
180226;2000;2
180226;2100;1,4
180226;2200;0,9
180226;2300;0,5
180227;0;0,8
180227;100;0,5
180227;200;0,3
180227;300;0,3
180227;400;0,3
180227;500;0,6
180227;600;0,3
180227;700;0,6
180227;800;0,6
180227;900;1
180227;1000;1,3
180227;1100;1,3
180227;1200;1,6
